Date,Avg. Hum (%),Avg. Temp. (Celcius),Max. Temp. (Celcius),Min. Temp. (Celcius),Total Rainfall (mm),Wind Speed (Knots),Total Sunshine Hrs.,SO2 (ppb),NO2 (ppb),CO (ppm),O3 (ppb),PM2.5 (ug/m3),PM10 (ug/m3)
1/1/2013,69,17,24.6,11,0,0,5.1,10.623,20.924,2.388,5.811,228.446,394.573
1/2/2013,68,18.4,26.7,11.5,0,2,5.5,10.519,30.614,2.382,5.08,246.941,406.043
1/3/2013,74,18.9,25.2,14.9,0,0,0,10.214,46.315,2.562,4.534,258.31,390.344
1/4/2013,70,19.9,25.6,14.8,0,2,0,11.21,29.998,1.906,8.214,240.803,363.458
1/5/2013,60,18.7,25,14.6,0,2,2.5,8.387,27.327,1.456,4.561,183.738,260.806
1/6/2013,53,18.2,23.7,12,0,2,1.4,9.11,24.241,1.254,4.773,212.722,302.999
1/7/2013,59,17.1,21.3,14.8,0,2,0,12.05,27.184,2.031,7.077,239.96,296.305
1/8/2013,71,12.5,18.2,9.6,0,2.3,6.7,7.609,17.941,1.213,8.662,246.167,303.602
1/9/2013,81,10.4,15,7.2,0,2,0.9,7.426,20.039,0.922,8.29,241.483,306.011
1/10/2013,80,12.3,18.2,7.6,0,2,0.1,10.285,30.92,1.632,7.82,308.174,413.372
1/11/2013,79,12.5,19.4,8,0,0,0,7.58,31.663,1.633,8.14,261.308,339.45
1/12/2013,66,15.8,22.3,7.9,0,2,4.8,8.637,28.519,1.392,7.754,218.455,293.413
1/13/2013,73,16.8,24.1,10.5,0,2,4.2,11.708,27.199,1.071,8.101,254.547,354.018
1/14/2013,68,17.7,25.6,11.4,0,0,5.9,12.362,37.892,1.325,8.636,243.111,349.295
1/15/2013,63,18.5,26.5,12.3,0,2,6.6,13.058,53.475,1.876,8.85,222.76,343.854
1/16/2013,68,18.6,26.6,12,0,0,1.8,11.163,52.882,1.48,7.998,248.077,368.271
1/17/2013,67,19.4,26.9,13,0,0,3.5,13.48,53.593,1.747,9.891,262.327,404.163
1/18/2013,67,20,28.1,14,0,2,6.4,11.038,42.501,1.723,4.406,219.367,291.232
1/19/2013,62,21.6,28,14.2,0,0,5.6,12.091,45.289,1.666,7.296,201.653,310.17
1/20/2013,64,21.5,26.6,16.8,0,2,5,13.901,26.671,0.936,8.282,165.292,239.992
1/21/2013,58,19.6,24.8,16,0,2,6,9.807,25.33,0.655,8.609,133.303,208.946
1/22/2013,58,19.4,25.4,14.5,0,2,8.1,11.605,28.332,0.677,8.397,140.911,204.74
1/23/2013,59,19,25.7,13.7,0,2.3,8.2,9.886,22.587,2.594,9.604,137.386,200.279
1/24/2013,60,18.5,26.3,13.1,0,2.7,8.2,7.292,17.323,2.012,9.215,133.524,188.131
1/25/2013,66,15.7,23,8.8,0,2.6,7,9.648,8.458,2.973,5.461,167.413,225.711
1/26/2013,59,16.1,22.8,10.8,0,2.4,7.7,9.205,18.989,1.197,9.782,149.132,203.904
1/27/2013,66,17,22.4,11.4,0,2,6.4,10.623,20.145,2.473,8.857,192.689,255.545
